Ticker,Exchange,Name,Months,Number of Contracts,Quandl Code
PL,CME,Platinum,FHJKNV,3,CHRIS/CME_PL
POT,MCX,Potato,HJKM,2,CHRIS/MCX_POT
PTM,CME,MISO Indiana Hub Real-Time Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,10,CHRIS/CME_PTM
Q5,CME,NYISO Zone C 5 MW Peak Calendar-Month Day-Ahead LBMP,FGHJKMNQUVXZ,2,CHRIS/CME_Q5
QL,CME,Coal,FGHJKMNQUVXZ,2,CHRIS/CME_QL
QP,CME,Powder River Basin Coal (Platts OTC Broker Index),FGHJKMNQUVXZ,6,CHRIS/CME_QP
QX,CME,Eastern Rail Delivery CSX Coal,FGHJKMNQUVXZ,9,CHRIS/CME_QX
R,LIFFE,Long Gilt,HMUZ,2,CHRIS/LIFFE_R
R3,CME,PJM BGE Zone Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,27,CHRIS/CME_R3
R6,CME,ISO New England West Central Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_R6
R7,CME,PJM AEP Dayton Hub Day-Ahead Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,22,CHRIS/CME_R7
RA,CME,South African Rand,FGHJKMNQUVXZ,2,CHRIS/CME_RA
RB,SHFE,Steel Rebar,FGHJKMNQUVXZ,11,CHRIS/SHFE_RB
RB,CME,Gasoline,FGHJKMNQUVXZ,10,CHRIS/CME_RB
RBB,CME,RBOB Gasoline Brent Crack Spread,FGHJKMNQUVXZ,10,CHRIS/CME_RBB
RC,LIFFE,Coffee,FHKNUX,6,CHRIS/LIFFE_RC
RK,CME,Singapore Jet Kerosene (Platts) vs. Gasoil (Platts),FGHJKMNQUVXZ,10,CHRIS/CME_RK
RM,CME,RBOB Gasoline Crack Spread,HJKMNQUVXZ,10,CHRIS/CME_RM
RR,CME,Rough Rice,FHKNUX,3,CHRIS/CME_RR
RS,ICE,Canola,FHKNX,5,CHRIS/ICE_RS
RS,ODE,Raw Sugar,FHKNUX,5,CHRIS/ODE_RS
RT,SGX,SICOM RSS3 Rubber,FHJKMNQUVXZ,2,CHRIS/SGX_RT
RU,CME,Russian Ruble,FGHJKMNQUVXZ,7,CHRIS/CME_RU
RU,SHFE,Natural Rubber,FHJKMNQUVX,2,CHRIS/SHFE_RU
RV,CME,Gulf Coast Unl 87 Gasoline M1 (Platts) vs. RBOB Gasoline,HJKMNQUVXZ,7,CHRIS/CME_RV
S,CME,Soybeans,FHKNQUX,10,CHRIS/CME_S
S4,CME,PJM APS Zone Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,2,CHRIS/CME_S4
SB,ODE,US Soybeans,GJQVZ,5,CHRIS/ODE_SB
SB,ICE,Sugar No. 11,HKNUV,6,CHRIS/ICE_SB
SD,CME,Singapore Fuel Oil 180 cst (Platts) vs. 380 cst (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_SD
SE,CME,Singapore Fuel Oil 380 cst (Platts),FGHJKMNQUVXZ,3,CHRIS/CME_SE
SF,ICE,Sugar,FHKNUX,5,CHRIS/ICE_SF
SF,ICE,Sugar No. 16,FHKNUX,5,CHRIS/ICE_SF
SG,CME,Singapore Gasoil (Platts),HJKMNQUVXZ,6,CHRIS/CME_SG
SI,CME,Silver,FHJKNUZ,12,CHRIS/CME_SI
SI,MCX,Silver,HKNUZ,2,CHRIS/MCX_SI
SIM,MCX,Silver Mini,FGHJKMNQUVXZ,2,CHRIS/MCX_SIM
SM,CME,Soybean Meal,FHKNQUVZ,11,CHRIS/CME_SM
SSI,CME,Coal (API 8) cfr South China (Argus/McCloskey),FGHJKMNQUVXZ,2,CHRIS/CME_SSI
ST,SGX,FTSE Straits Times Index,FGHJKMNQUVXZ,2,CHRIS/SGX_ST
STLRPR,MCX,Steel,FZ,1,CHRIS/MCX_STLRPR
SXA,MX,S&P/TSX Global Gold Index,HMUZ,2,CHRIS/MX_SXA
SZ,CME,Southern Natural Louisiana Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_SZ
T,LIFFE,Feed Wheat,FHKMX,7,CHRIS/LIFFE_T
T,ICE,WTI Crude,FGHJKMNQUVXZ,7,CHRIS/ICE_T
T3,CME,NYISO Zone G Day-Ahead Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,34,CHRIS/CME_T3
TC,CME,Columbia Gas TCO (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_TC
TF,SGX,SICOM Rubber,FHJKMNQUVXZ,5,CHRIS/SGX_TF
TFM,ICE,Endex Dutch TTF Gas Base Load,FGHJKMNQUVXZ,2,CHRIS/ICE_TFM
TIB,ICE,WTI vs Brent Spread Option,FGHJKMNQUVXZ,4,CHRIS/ICE_TIB
TIO,CME,Iron Ore 62% Fe CFR China (TSI),FGHJKMNQUVXZ,4,CHRIS/CME_TIO
TR,CME,Transco Zone 4 Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_TR
TR,SGX,Thailand SICOM OTC TSR20 Rubber,FHJKMNQUVXZ,2,CHRIS/SGX_TR
TR,ODE,Tokyo Rice,FGHJKMNQUVXZ,5,CHRIS/ODE_TR
TZ6,CME,Transco Zone 6 Non-N.Y. Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,7,CHRIS/CME_TZ6
U3,CME,ISO New England New Hampshire Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,12,CHRIS/CME_U3
U4,CME,ISO New England Rhode Island Zone 5 MW Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,8,CHRIS/CME_U4
U5,CME,ISO New England Rhode Island Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,22,CHRIS/CME_U5
U6,CME,ISO New England Mass Hub 5 MW Peak Calendar-Month Day-Ahead LMP,FGHJKMNQUVXZ,10,CHRIS/CME_U6
UA,CME,Singapore Fuel Oil 180 cst (Platts),FGHJKMNQUVXZ,3,CHRIS/CME_UA
UB,ASX,Feed Barley,FHKNUX,7,CHRIS/ASX_UB
UB,CME,Dated Brent (Platts) Financial,FGHJKMNQUVXZ,5,CHRIS/CME_UB
ULS,ICE,Low Sulphur Gasoil,FGHJKMNQUVXZ,2,CHRIS/ICE_ULS
UM,CME,PJM Northern Illinois Hub Real-Time Peak Calendar-Month 2.5 MW,FGHJKMNQUVXZ,2,CHRIS/CME_UM
UN,CME,European Naphtha Cargoes CIF NWE (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_UN
UO,CME,PJM Northern Illinois Hub Off-Peak LMP,FGHJKMNQUVXZ,2,CHRIS/CME_UO
US,ASX,Sorghum,FHKNUX,6,CHRIS/ASX_US
UV,CME,European 3.5% Fuel Oil Barges FOB Rdam (Platts),FGHJKMNQUVXZ,3,CHRIS/CME_UV
UX,CME,UxC Uranium U3O8,FGHJKMNQUVXZ,3,CHRIS/CME_UX
V3,CME,PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,58,CHRIS/CME_V3
VC,ASX,EA Canola,FHKNUX,6,CHRIS/ASX_VC
VCF,SGX,Singapore Visco Spread,FGHJKMNQUVXZ,2,CHRIS/SGX_VCF
VM,CME,PJM AEP Dayton Hub Real-Time Peak Calendar-Month 2.5 MW,FGHJKMNQUVXZ,2,CHRIS/CME_VM
VN,CBOE,NASDAQ 100 VIX,FGHJKMNQUVXZ,2,CHRIS/CBOE_VN
VP,CME,PJM AEP Dayton Hub Off-Peak LMP,FGHJKMNQUVXZ,2,CHRIS/CME_VP
VR,CME,NY 1% Fuel Oil (Platts) vs. Gulf Coast 3% Fuel Oil (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_VR
VW,ASX,NSW Wheat,FHKNUX,6,CHRIS/ASX_VW
